item_name,category,description,price_display,price,half_plate_price,full_plate_price,small_price,medium_price,large_price,currency,spice_level,dietary_tags
Onion Kulcha,,"Round leavened bread, with chopped onions cumin and turmeric.",$5.50,5.5,,,,,,,,
Paratha,Vegan,"Flaky rich wholemeal bread, twice turned and layered. (Dairy free)",$6.50,6.5,,,,,,,,
Stuffed Paratha,Vegan,"Wholemeal bread stuffed with spiced potato, cumin seeds, turmeric and chilli.",$7.00,7.0,,,,,,,,
Tandoori Roti,Vegan,Traditional wholemeal unleavened bread. (Dairy free),$5.00,5.0,,,,,,,,
Poppadoms,,,$1.70,1.7,,,,,,,,
Mango Chutney,Sweet,,$1.60,1.6,,,,,,,,
Mango Pickle,Sour hot,,$1.60,1.6,,,,,,,,
Lime Pickle,Aromatic,,$1.60,1.6,,,,,,,,
Chilli Pickle,,,$1.60,1.6,,,,,,,,
Tamarind Sauce,,,$3.50,3.5,,,,,,,,
Plain Yoghurt,Homemade,,$5.50,5.5,,,,,,,,
Mint Yoghurt,Sweet,,$4.50,4.5,,,,,,,,
Dahi Raita,,"Cool thick homemade yoghurt with shredded cucumber, pink himalayan salt and garlic.",$7.50,7.5,,,,,,,,
Onion Salad,,"Diced onions, cucumber, carrots and tomatoes with spice.",$8.00,8.0,,,,,,,,
Combination Chutney and Pickles,,,$6.00,6.0,,,,,,,,
Green Salad,,,$8.00,8.0,,,,,,,,
